               epoch,      train/box_loss,      train/cls_loss,      train/dfl_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/cls_loss,        val/dfl_loss,               x/lr0,               x/lr1,               x/lr2
                   0,              6.0176,              75.752,              3.5829,                   0,                   0,                   0,                   0,              6.5513,              6.0849,              2.9718,            0.070138,            0.003318,            0.003318
                   1,              5.4579,              5.0624,              2.2998,           0.0093496,            0.054463,           0.0061247,           0.0017253,              6.1964,               4.848,              2.5035,            0.040072,           0.0065855,           0.0065855
                   2,              3.9083,              3.6645,              1.5676,            0.091832,            0.040787,            0.017495,           0.0050266,              4.6869,              4.1394,              1.9737,           0.0099406,           0.0097869,           0.0097869
                   3,              3.1809,              2.8045,              1.3546,            0.070076,            0.032869,           0.0080018,           0.0020872,              4.2902,              4.1614,              1.8346,            0.009703,            0.009703,            0.009703
                   4,               2.822,               2.264,              1.2689,             0.02104,            0.013196,            0.002971,           0.0010827,              5.1929,              4.8208,              2.1598,            0.009703,            0.009703,            0.009703
                   5,              2.6066,              1.9786,              1.2144,             0.30284,             0.20058,              0.1449,            0.067832,              3.1996,              3.2946,              1.4754,            0.009604,            0.009604,            0.009604
                   6,              2.4258,               1.745,              1.1846,             0.30876,             0.25096,             0.18818,            0.093433,              2.9097,              3.2309,              1.4109,            0.009505,            0.009505,            0.009505
                   7,              2.2835,              1.5841,              1.1639,             0.33476,             0.15427,             0.13098,             0.06545,              3.0125,              3.3908,               1.437,            0.009406,            0.009406,            0.009406
                   8,              2.2433,              1.5211,              1.1534,             0.38831,             0.24856,             0.22789,             0.10562,              2.9249,              3.3672,              1.4219,            0.009307,            0.009307,            0.009307
                   9,              2.1999,              1.4696,              1.1401,              0.4372,             0.23391,             0.22354,             0.11504,              2.7126,              3.4492,              1.3533,            0.009208,            0.009208,            0.009208
                  10,              2.1031,              1.3619,              1.1318,             0.38063,             0.25611,             0.21904,             0.11511,              2.6743,               3.026,              1.3478,            0.009109,            0.009109,            0.009109
                  11,              2.0332,              1.2915,              1.1181,             0.43005,              0.2476,             0.23605,             0.12459,              2.5541,              3.4145,              1.3188,             0.00901,             0.00901,             0.00901
                  12,              2.0208,              1.2628,              1.1121,              0.3727,             0.23534,             0.19867,            0.098666,              2.7162,              3.1796,              1.3444,            0.008911,            0.008911,            0.008911
                  13,              1.9565,              1.2409,               1.113,             0.40617,             0.18594,             0.20139,             0.10509,              2.7425,              4.0183,              1.3906,            0.008812,            0.008812,            0.008812
                  14,              1.9247,              1.1845,              1.1022,             0.30405,             0.22745,             0.18551,            0.087209,              2.8989,              3.3638,              1.3905,            0.008713,            0.008713,            0.008713
                  15,              1.8788,              1.1438,              1.0967,             0.42408,             0.19722,             0.19744,             0.10468,              2.6382,              3.9728,              1.3565,            0.008614,            0.008614,            0.008614
                  16,              1.8715,              1.1352,              1.0917,             0.47032,              0.2484,             0.27587,             0.14553,              2.6128,              3.6214,              1.3412,            0.008515,            0.008515,            0.008515
                  17,               1.831,              1.1134,              1.0897,             0.38468,             0.20921,             0.18108,            0.097585,              2.6573,              3.2435,              1.3329,            0.008416,            0.008416,            0.008416
                  18,              1.8295,              1.0926,              1.0884,             0.38453,             0.18954,             0.19334,             0.09801,              2.7173,              3.9707,              1.3444,            0.008317,            0.008317,            0.008317
                  19,              1.7682,              1.0522,              1.0804,             0.36584,             0.21425,             0.19891,             0.10617,              2.6216,              3.4799,              1.3347,            0.008218,            0.008218,            0.008218
                  20,              1.7665,              1.0407,              1.0837,             0.34517,             0.22913,             0.20615,             0.10768,              2.4886,              3.2147,               1.306,            0.008119,            0.008119,            0.008119
                  21,              1.7465,               1.018,              1.0769,             0.46348,             0.30446,             0.30168,             0.15228,              2.5293,              3.3019,               1.339,             0.00802,             0.00802,             0.00802
                  22,              1.7337,              1.0065,               1.074,             0.39203,               0.244,             0.22741,              0.1255,              2.4777,              3.2597,              1.2963,            0.007921,            0.007921,            0.007921
                  23,              1.6909,             0.97253,              1.0733,             0.30429,              0.1701,             0.14566,            0.074622,              2.8251,              3.7303,               1.386,            0.007822,            0.007822,            0.007822
                  24,              1.6947,             0.97285,              1.0678,             0.45707,             0.25768,             0.25875,             0.14414,              2.4473,               3.722,               1.292,            0.007723,            0.007723,            0.007723
                  25,               1.664,             0.95521,              1.0687,             0.43758,             0.22337,             0.23446,             0.12814,              2.5624,              4.0553,              1.3207,            0.007624,            0.007624,            0.007624
                  26,              1.6765,             0.96053,              1.0683,              0.4377,             0.25936,             0.25889,             0.14239,              2.4873,              3.3777,              1.3026,            0.007525,            0.007525,            0.007525
                  27,              1.6542,             0.93973,               1.067,             0.42168,             0.23704,             0.23635,             0.12889,              2.4637,              3.7165,              1.3196,            0.007426,            0.007426,            0.007426
                  28,              1.6435,              0.9266,              1.0659,             0.41565,                0.25,             0.24533,             0.13444,              2.4643,              3.4985,              1.2987,            0.007327,            0.007327,            0.007327
                  29,              1.6358,             0.91447,              1.0655,             0.42806,             0.21473,             0.20906,              0.1089,              2.5685,              3.8014,              1.3097,            0.007228,            0.007228,            0.007228
                  30,              1.6142,             0.91114,              1.0579,             0.38575,             0.22577,             0.19694,             0.10245,              2.5814,              3.5826,              1.3269,            0.007129,            0.007129,            0.007129
                  31,              1.6168,             0.90929,              1.0634,             0.32983,             0.19755,             0.16568,            0.093187,              2.5746,              3.8458,               1.333,             0.00703,             0.00703,             0.00703
                  32,              1.6012,             0.91239,              1.0618,             0.40344,             0.25744,             0.23605,             0.12959,              2.4473,              3.6714,               1.301,            0.006931,            0.006931,            0.006931
                  33,              1.5798,             0.87489,              1.0586,             0.46221,             0.26704,             0.27322,              0.1471,              2.5007,              3.5731,              1.2931,            0.006832,            0.006832,            0.006832
                  34,              1.5683,             0.87702,              1.0596,             0.55022,             0.24208,              0.2772,             0.16103,              2.4726,               3.794,              1.2953,            0.006733,            0.006733,            0.006733
                  35,              1.5775,             0.88493,              1.0572,             0.45684,             0.25936,             0.26658,             0.15187,              2.4056,              3.3337,                1.29,            0.006634,            0.006634,            0.006634
                  36,              1.5606,             0.85755,               1.055,             0.45287,             0.27639,             0.26094,             0.14375,              2.4425,              3.4161,               1.299,            0.006535,            0.006535,            0.006535
                  37,                1.56,             0.85711,              1.0533,             0.49329,             0.24112,             0.27268,             0.15353,              2.4274,              3.8285,              1.2896,            0.006436,            0.006436,            0.006436
                  38,              1.5521,             0.86156,              1.0537,             0.42644,             0.23896,             0.24059,             0.14056,              2.4469,              3.7481,              1.3009,            0.006337,            0.006337,            0.006337
                  39,              1.5313,             0.85077,               1.051,             0.39635,             0.23992,             0.22073,             0.12097,              2.4789,              3.4701,              1.2973,            0.006238,            0.006238,            0.006238
                  40,              1.5426,             0.84943,              1.0515,             0.46059,             0.25144,              0.2563,             0.14561,              2.3847,              3.7636,              1.2788,            0.006139,            0.006139,            0.006139
                  41,              1.5216,             0.83914,              1.0504,             0.42065,             0.21137,             0.21956,             0.12611,              2.4726,              3.9928,               1.296,             0.00604,             0.00604,             0.00604
                  42,              1.5037,             0.82725,              1.0495,             0.43372,             0.22505,             0.23579,             0.12869,              2.4823,              3.8179,              1.3051,            0.005941,            0.005941,            0.005941
                  43,              1.4938,              0.8091,               1.046,             0.41461,             0.26152,             0.24336,             0.13431,              2.4193,              3.4149,              1.2885,            0.005842,            0.005842,            0.005842
                  44,              1.4918,             0.81877,              1.0477,             0.44596,             0.21809,             0.22869,             0.12777,              2.4921,              3.7779,              1.3008,            0.005743,            0.005743,            0.005743
                  45,              1.4923,              0.8104,              1.0451,              0.4325,             0.23752,             0.24075,             0.13513,              2.3682,              3.7343,              1.2669,            0.005644,            0.005644,            0.005644
                  46,              1.4882,             0.81521,              1.0432,             0.46528,             0.23737,             0.24885,             0.13998,              2.3902,              3.8144,              1.2794,            0.005545,            0.005545,            0.005545
                  47,              1.4704,             0.79587,              1.0446,             0.42006,              0.2466,             0.23457,             0.13091,              2.4444,              3.5667,              1.2904,            0.005446,            0.005446,            0.005446
                  48,              1.4782,             0.79925,              1.0438,             0.42002,             0.21209,             0.21197,             0.11805,              2.5221,              3.8406,              1.3049,            0.005347,            0.005347,            0.005347
                  49,              1.4663,             0.78528,              1.0384,             0.39351,             0.22697,             0.21321,             0.11951,              2.4552,              3.6427,              1.2854,            0.005248,            0.005248,            0.005248
                  50,              1.4509,             0.78739,              1.0412,             0.44272,             0.26799,             0.26246,             0.15142,              2.3853,              3.4656,              1.2834,            0.005149,            0.005149,            0.005149
                  51,              1.4412,             0.77495,              1.0402,             0.40807,             0.23968,             0.23087,             0.12702,              2.4591,              3.4474,               1.292,             0.00505,             0.00505,             0.00505
                  52,              1.4096,             0.75891,              1.0397,             0.45544,             0.27879,              0.2864,             0.16137,              2.3396,              3.3013,              1.2712,            0.004951,            0.004951,            0.004951
                  53,              1.4396,             0.77573,              1.0417,              0.4707,             0.20106,             0.22663,             0.12432,              2.4976,              3.9591,              1.3024,            0.004852,            0.004852,            0.004852
                  54,              1.4149,             0.76333,               1.038,             0.41749,             0.26979,             0.25532,             0.14422,              2.3819,              3.4292,              1.2662,            0.004753,            0.004753,            0.004753
                  55,              1.4466,             0.77623,              1.0416,             0.45264,             0.22169,             0.23863,             0.13175,              2.4569,              3.8745,              1.2874,            0.004654,            0.004654,            0.004654
                  56,              1.4225,             0.76339,              1.0381,             0.40207,             0.23297,             0.22157,             0.12289,              2.4731,              3.9075,              1.2866,            0.004555,            0.004555,            0.004555
                  57,               1.414,              0.7619,              1.0382,             0.47907,             0.21226,             0.24191,             0.13674,              2.4667,              3.9354,              1.2872,            0.004456,            0.004456,            0.004456
                  58,              1.3914,             0.73353,              1.0392,             0.42145,             0.20537,             0.21419,             0.11681,              2.4721,              3.9794,              1.2963,            0.004357,            0.004357,            0.004357
                  59,              1.4112,              0.7535,              1.0384,              0.4398,             0.22385,             0.22009,             0.11815,              2.4778,              3.8567,              1.3023,            0.004258,            0.004258,            0.004258
                  60,              1.3925,             0.74372,               1.038,             0.50435,              0.2146,             0.25209,             0.14281,               2.487,              3.9691,              1.2994,            0.004159,            0.004159,            0.004159
                  61,              1.3994,             0.74474,              1.0384,             0.39837,              0.1881,             0.19176,              0.1083,              2.5003,              4.1506,               1.309,             0.00406,             0.00406,             0.00406
                  62,               1.384,             0.73372,              1.0332,             0.45991,              0.2344,             0.24198,             0.13496,              2.3974,              3.8611,               1.278,            0.003961,            0.003961,            0.003961
                  63,               1.396,             0.74643,              1.0361,             0.45235,             0.21281,             0.23182,             0.12583,              2.4699,              4.0946,              1.2892,            0.003862,            0.003862,            0.003862
                  64,              1.3605,             0.73184,              1.0345,             0.45005,             0.21257,             0.22634,             0.12448,              2.4281,              3.9164,              1.2838,            0.003763,            0.003763,            0.003763
                  65,              1.3601,             0.71672,              1.0352,             0.40224,             0.18954,              0.1819,            0.098899,              2.4915,               4.155,              1.2967,            0.003664,            0.003664,            0.003664
                  66,              1.3651,             0.71568,              1.0342,             0.44831,             0.21545,             0.21691,             0.11856,              2.4516,              3.9764,              1.2912,            0.003565,            0.003565,            0.003565
                  67,              1.3568,             0.72135,              1.0315,             0.45435,             0.19626,             0.22183,             0.12152,              2.4488,              4.0282,              1.2847,            0.003466,            0.003466,            0.003466
                  68,              1.3449,             0.71172,               1.032,             0.42408,             0.22361,             0.22529,             0.12428,              2.4237,              3.9909,              1.2822,            0.003367,            0.003367,            0.003367
                  69,              1.3522,             0.71036,              1.0308,              0.4171,              0.2122,             0.20662,             0.10935,              2.4755,              4.1625,               1.292,            0.003268,            0.003268,            0.003268
                  70,              1.3434,             0.70363,              1.0303,             0.42809,             0.21353,              0.2142,             0.11463,              2.4883,               4.011,              1.2992,            0.003169,            0.003169,            0.003169
                  71,               1.322,             0.69582,              1.0287,             0.43895,             0.21906,              0.2249,             0.12353,              2.4435,              4.0081,              1.2848,             0.00307,             0.00307,             0.00307
                  72,              1.3219,             0.69973,              1.0291,             0.43603,              0.2098,             0.22141,             0.12243,              2.4781,              3.9727,              1.2941,            0.002971,            0.002971,            0.002971
                  73,              1.3141,             0.68943,              1.0294,             0.43604,             0.20572,             0.22325,             0.12224,              2.4416,              4.0027,               1.284,            0.002872,            0.002872,            0.002872
                  74,              1.3221,             0.69568,              1.0273,             0.43669,             0.23584,             0.23146,             0.13065,              2.4117,              3.8869,               1.274,            0.002773,            0.002773,            0.002773
                  75,              1.3233,             0.68784,              1.0244,             0.44788,             0.19986,             0.21831,             0.12257,              2.4785,              4.1573,              1.2947,            0.002674,            0.002674,            0.002674
                  76,               1.294,             0.67504,              1.0264,             0.45493,             0.19842,             0.21448,             0.11913,              2.4959,              4.0859,              1.3012,            0.002575,            0.002575,            0.002575
