               epoch,      train/box_loss,      train/cls_loss,      train/dfl_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/cls_loss,        val/dfl_loss,               x/lr0,               x/lr1,               x/lr2
                   0,              4.1933,               8.434,               1.998,              0.2128,             0.16963,             0.11454,            0.036096,              3.1234,              3.0633,               1.542,            0.070079,           0.0033245,           0.0033245
                   1,              3.1108,              2.4215,              1.3814,             0.22896,              0.1845,             0.13789,            0.053648,              2.9302,              3.1319,               1.429,             0.03942,           0.0059987,           0.0059987
                   2,              2.7495,              2.0624,              1.2679,             0.34555,             0.22673,             0.20394,             0.08465,              2.7522,              3.3415,              1.3716,           0.0081009,           0.0080129,           0.0080129
                   3,              2.5397,              1.8061,              1.2169,             0.32819,             0.26368,             0.21528,             0.09769,              2.7259,              3.0018,              1.3449,             0.00703,             0.00703,             0.00703
                   4,              2.3367,              1.5972,              1.1683,             0.37974,             0.28393,             0.24797,             0.11581,              2.6473,              3.1375,              1.3497,             0.00703,             0.00703,             0.00703
                   5,              2.2359,              1.4801,              1.1476,             0.41817,             0.28503,             0.27511,             0.13288,              2.5726,              3.0139,              1.3226,             0.00604,             0.00604,             0.00604
                   6,              2.1008,              1.3458,              1.1276,             0.37926,             0.27207,             0.23351,              0.1164,              2.5976,              3.0756,              1.3262,             0.00505,             0.00505,             0.00505
                   7,              2.0399,              1.2754,              1.1148,             0.41471,             0.29822,             0.27812,             0.14147,               2.413,              3.2504,              1.2955,             0.00406,             0.00406,             0.00406
                   8,              2.0017,              1.2453,              1.1121,             0.39461,             0.26008,             0.23639,             0.11997,              2.5112,               3.598,              1.3204,             0.00307,             0.00307,             0.00307
                   9,              1.9209,              1.1648,              1.1014,             0.38524,             0.26799,             0.23802,             0.12472,              2.4831,              3.4429,              1.3058,             0.00208,             0.00208,             0.00208
